epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,8707.37,1.49288,1.09568,1.41512,0.73434,0.75509,0.7518,0.42196,1.52457,1.02237,1.51424,0.008614,0.008614,0.008614
72,8829.59,1.50549,1.07986,1.42247,0.72554,0.75045,0.7599,0.42814,1.52013,0.99888,1.51271,0.0085942,0.0085942,0.0085942
73,8952.6,1.48648,1.07492,1.41352,0.73771,0.75609,0.76102,0.42991,1.52202,1.01815,1.50734,0.0085744,0.0085744,0.0085744
74,9075.35,1.48839,1.07073,1.41961,0.71246,0.73977,0.75225,0.42002,1.52157,1.03366,1.51299,0.0085546,0.0085546,0.0085546
75,9198.23,1.48471,1.07425,1.40579,0.73537,0.75562,0.76076,0.42456,1.52567,1.01409,1.5138,0.0085348,0.0085348,0.0085348
76,9320.41,1.48236,1.06143,1.41324,0.7212,0.73597,0.74888,0.4218,1.53325,1.02443,1.52413,0.008515,0.008515,0.008515
77,9442.56,1.48728,1.07539,1.41504,0.72827,0.74462,0.75778,0.42434,1.52583,1.02112,1.51015,0.0084952,0.0084952,0.0084952
78,9564.8,1.48002,1.06213,1.4157,0.73401,0.76078,0.7622,0.43342,1.5193,1.00669,1.506,0.0084754,0.0084754,0.0084754
79,9687.03,1.46874,1.05892,1.40649,0.72477,0.75149,0.76006,0.43281,1.52021,1.00397,1.51006,0.0084556,0.0084556,0.0084556
80,9809.17,1.46623,1.04467,1.39591,0.75345,0.73735,0.76474,0.43425,1.51538,1.01006,1.49823,0.0084358,0.0084358,0.0084358
81,9931.53,1.47254,1.05593,1.40541,0.74139,0.75137,0.76127,0.43601,1.51312,0.99358,1.50133,0.008416,0.008416,0.008416
82,10054.7,1.46088,1.04478,1.40182,0.74253,0.74647,0.76009,0.43072,1.51459,1.00743,1.50868,0.0083962,0.0083962,0.0083962
83,10177.8,1.47202,1.05777,1.40493,0.74967,0.76085,0.76982,0.43593,1.50828,0.99393,1.4978,0.0083764,0.0083764,0.0083764
84,10300.5,1.4727,1.05356,1.40371,0.73585,0.76321,0.76439,0.43463,1.51092,0.99709,1.49676,0.0083566,0.0083566,0.0083566
85,10423,1.46177,1.03955,1.40034,0.7414,0.75598,0.76954,0.43771,1.50945,0.98747,1.49813,0.0083368,0.0083368,0.0083368
86,10545.3,1.46753,1.05705,1.40113,0.73538,0.76821,0.77361,0.44232,1.49821,0.97773,1.49041,0.008317,0.008317,0.008317
87,10667.7,1.46417,1.05964,1.39925,0.7319,0.77306,0.77321,0.44213,1.5089,0.98575,1.49858,0.0082972,0.0082972,0.0082972
88,10790,1.45766,1.0318,1.39423,0.74204,0.75684,0.77669,0.43994,1.51588,0.97813,1.50313,0.0082774,0.0082774,0.0082774
89,10912.4,1.45331,1.03864,1.38914,0.72495,0.76011,0.77048,0.44055,1.50739,0.98386,1.49863,0.0082576,0.0082576,0.0082576
90,11034.8,1.45932,1.04083,1.39276,0.74483,0.75882,0.77982,0.44663,1.49748,0.9741,1.49221,0.0082378,0.0082378,0.0082378
91,11157.4,1.46015,1.03293,1.39246,0.74509,0.76674,0.7783,0.44326,1.50412,0.9776,1.4932,0.008218,0.008218,0.008218
92,11279.5,1.44418,1.01378,1.38118,0.75332,0.76122,0.78108,0.44874,1.50341,0.96994,1.49886,0.0081982,0.0081982,0.0081982
93,11402.1,1.44207,1.01586,1.38371,0.74703,0.75936,0.77908,0.44692,1.49665,0.96843,1.49175,0.0081784,0.0081784,0.0081784
94,11525.2,1.44918,1.02414,1.3891,0.75313,0.76441,0.78588,0.44875,1.50363,0.95853,1.50112,0.0081586,0.0081586,0.0081586
95,11647.8,1.43697,1.01636,1.37677,0.75761,0.76123,0.77457,0.44708,1.50419,0.95359,1.49834,0.0081388,0.0081388,0.0081388
96,11770.6,1.45632,1.02859,1.39164,0.75318,0.77162,0.77443,0.44577,1.49737,0.96899,1.49345,0.008119,0.008119,0.008119
97,11893.3,1.45182,1.01472,1.38635,0.74402,0.76553,0.775,0.44613,1.50227,0.9519,1.49535,0.0080992,0.0080992,0.0080992
98,12016,1.43937,1.01615,1.37689,0.74499,0.76171,0.77218,0.44688,1.49902,0.95679,1.49706,0.0080794,0.0080794,0.0080794
99,12138.5,1.44876,1.02068,1.39269,0.75095,0.76121,0.77414,0.44739,1.49354,0.95421,1.48741,0.0080596,0.0080596,0.0080596
100,12260.8,1.43449,1.00559,1.37782,0.75106,0.76346,0.77436,0.45042,1.49346,0.94373,1.48824,0.0080398,0.0080398,0.0080398
101,12382.9,1.42739,1.00531,1.38075,0.76107,0.76676,0.78072,0.4536,1.49751,0.94586,1.49465,0.00802,0.00802,0.00802
102,12505.4,1.44319,1.00745,1.38475,0.7552,0.77007,0.77789,0.45246,1.49502,0.93612,1.49008,0.0080002,0.0080002,0.0080002
103,12629.3,1.43487,1.00355,1.37885,0.76782,0.76936,0.78365,0.45574,1.49773,0.93785,1.49608,0.0079804,0.0079804,0.0079804
104,12752.3,1.4346,0.99469,1.37526,0.7751,0.76324,0.78673,0.45556,1.49958,0.94633,1.49553,0.0079606,0.0079606,0.0079606
105,12875.1,1.43019,1.00112,1.37289,0.76556,0.77395,0.78886,0.46047,1.49509,0.94216,1.49433,0.0079408,0.0079408,0.0079408
106,12997.4,1.42646,0.99117,1.36918,0.76445,0.78193,0.79333,0.46183,1.48699,0.93366,1.49022,0.007921,0.007921,0.007921
107,13119.7,1.42999,1.00692,1.37707,0.76706,0.77564,0.79399,0.459,1.49261,0.93618,1.4965,0.0079012,0.0079012,0.0079012
108,13241.4,1.43184,0.99275,1.38306,0.76116,0.77825,0.79202,0.46,1.48711,0.93096,1.49004,0.0078814,0.0078814,0.0078814
109,13362.9,1.43231,0.99327,1.37007,0.7584,0.77371,0.7863,0.45819,1.49076,0.93315,1.49606,0.0078616,0.0078616,0.0078616
110,13484.3,1.4307,0.99301,1.37041,0.74587,0.78496,0.78684,0.46047,1.48183,0.93099,1.48998,0.0078418,0.0078418,0.0078418
111,13605.7,1.42665,0.99086,1.36827,0.75391,0.78011,0.78892,0.45968,1.47607,0.9319,1.48325,0.007822,0.007822,0.007822
112,13727.2,1.42206,0.98667,1.37396,0.77422,0.76716,0.79066,0.45843,1.4763,0.93451,1.48522,0.0078022,0.0078022,0.0078022
113,13849.2,1.41449,0.98408,1.35917,0.76426,0.77,0.78812,0.45733,1.48688,0.93817,1.49218,0.0077824,0.0077824,0.0077824
114,13972.1,1.40936,0.9751,1.36173,0.75843,0.77874,0.78816,0.45826,1.47809,0.93957,1.4869,0.0077626,0.0077626,0.0077626
